GENESIS-Tabelle: 46251-0020
Kraftfahrzeugbestand: Kreise, Stichtag, Kraftfahrzeugarten;;;;;;;;;;;;;;;;;;;;;
Statistik des Kraftfahrzeug- und Anhängerbestandes;;;;;;;;;;;;;;;;;;;;;
Kraftfahrzeugbestand (Anzahl);;;;;;;;;;;;;;;;;;;;;
;;;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten
01.01.2022;13001;Greifswald, kreisfreie Stadt (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;13002;Neubrandenburg, kreisfreie Stadt (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;13003;Rostock, kreisfreie Stadt;100432;5251;-;5136;87057;58734;24032;108;6332;2023;1125;-;739;386;559;1292;22063;4034;13130
01.01.2022;13004;Schwerin, kreisfreie Stadt;51875;2326;-;2282;44702;29288;13220;54;3514;1127;292;-;80;212;987;665;5909;2368;107
01.01.2022;13005;Stralsund, kreisfreie Stadt (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;13006;Wismar, kreisfreie Stadt (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;13051;Bad Doberan, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;13052;Demmin, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;13053;Güstrow, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;13054;Ludwigslust, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;13055;Mecklenburg-Strelitz, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;13056;Müritz, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;13057;Nordvorpommern, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;13058;Nordwestmecklenburg, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;13059;Ostvorpommern, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;13060;Parchim, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;13061;Rügen, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;13062;Uecker-Randow, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;13071;Mecklenburgische Seenplatte, Landkreis;186999;14007;-;13490;146616;93100;48473;305;16970;6981;7520;-;1246;6274;1581;1894;43521;22981;1839
01.01.2022;13072;Rostock, Landkreis;163406;11578;-;11204;128424;77990;45522;222;15145;6009;6544;-;1163;5381;1493;1858;36102;18602;1548
01.01.2022;13073;Vorpommern-Rügen, Landkreis;156613;10768;-;10384;125981;80127;41324;241;13603;5344;4821;-;565;4256;1199;2010;34289;17074;684
01.01.2022;13074;Nordwestmecklenburg, Landkreis;115966;8908;-;8640;91926;57203;31510;216;9545;3811;4491;-;458;4033;880;1472;23774;12634;789
01.01.2022;13075;Vorpommern-Greifswald, Landkreis;159322;12295;-;11920;127304;83644;38973;274;12840;5432;5436;-;461;4975;1173;1474;35528;19409;650
01.01.2022;13076;Ludwigslust-Parchim, Landkreis;166309;12520;-;12045;129388;78890;46600;265;14154;6162;8590;-;999;7591;1392;1930;44296;25290;1411
01.01.2022;14161;Chemnitz, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14166;Plauen, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14167;Zwickau, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14171;Annaberg, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14173;Chemnitzer Land, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14177;Freiberg, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14178;Vogtlandkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14181;Mittlerer Erzgebirgskreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14182;Mittweida, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14188;Stollberg, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14191;Aue-Schwarzenberg, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14193;Zwickauer Land, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14262;Dresden, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14263;Görlitz, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14264;Hoyerswerda, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14272;Bautzen, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14280;Meißen, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14284;Niederschlesischer Oberlausitzkreis (b.31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14285;Riesa-Großenhain, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14286;Löbau-Zittau, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14287;Sächsische Schweiz, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14290;Weißeritzkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14292;Kamenz, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14374;Delitzsch, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14375;Döbeln, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14379;Leipziger Land, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14383;Muldentalkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14389;Torgau-Oschatz, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;14511;Chemnitz, kreisfreie Stadt;148490;8933;-;8709;126382;87120;32902;137;10728;3937;1387;-;447;940;923;1251;13458;6833;560
01.01.2022;14521;Erzgebirgskreis;255384;22367;-;21779;203063;140927;55450;399;20113;8791;7954;-;687;7267;1488;1753;35949;21059;1039
01.01.2022;14522;Mittelsachsen, Landkreis;228108;18781;-;18241;180151;121957;51907;404;18758;8547;8427;-;1027;7400;1587;1850;39382;23241;1242
01.01.2022;14523;Vogtlandkreis;172673;13094;-;12731;137193;94934;36967;198;14350;6369;6699;-;720;5979;1139;1290;27314;15695;1035
01.01.2022;14524;Zwickau, Landkreis;229303;17530;-;17106;186314;130779;48251;267;18076;7971;5820;-;1476;4344;1296;1738;30785;16920;2059
01.01.2022;14612;Dresden, kreisfreie Stadt;272262;16760;-;16360;232009;154830;64110;376;20039;7141;1418;-;409;1009;1660;3362;23095;11411;499
01.01.2022;14625;Bautzen, Landkreis;227712;17016;-;16437;182041;125006;50680;341;18329;8598;8409;-;848;7561;1576;1775;41099;24736;1263
01.01.2022;14626;Görlitz, Landkreis;178940;13471;-;13136;143721;104256;35157;273;13669;6804;6496;-;929;5567;1310;1334;31784;19545;1298
01.01.2022;14627;Meißen, Landkreis;173995;12272;-;11929;139610;94141;40092;212;15259;7389;5280;-;940;4340;1362;1565;30339;18107;1210
01.01.2022;14628;Sächsische Schweiz-Osterzgebirge, Landkreis;181484;14417;-;13945;144837;99291;39552;399;15079;6981;5559;-;337;5222;1193;1845;29361;17028;531
01.01.2022;14713;Leipzig, kreisfreie Stadt;271218;15414;-;15064;234324;162000;57756;299;18043;6186;1497;-;506;991;1641;2939;23720;11562;578
01.01.2022;14729;Leipzig, Landkreis;194378;14876;-;14439;155719;104444;44692;268;16337;7098;5900;-;1097;4803;1278;1585;37811;21802;1487
01.01.2022;14730;Nordsachsen, Landkreis;148664;11312;-;10913;117291;79036;33893;208;13452;6007;5202;-;782;4420;1199;1087;33567;19865;1271
01.01.2022;15001;Dessau-Roßlau, kreisfreie Stadt;49208;3037;-;2973;41994;30130;9949;34;3162;1328;734;-;336;398;247;413;6354;3258;288
01.01.2022;15002;Halle (Saale), kreisfreie Stadt;110505;5963;-;5803;95746;68778;22017;193;7401;2215;736;-;349;387;466;716;10280;5108;718
01.01.2022;15003;Magdeburg, kreisfreie Stadt;129607;6294;-;6150;112237;78318;28750;83;8862;3085;854;-;320;534;1277;930;12220;5749;447
01.01.2022;15081;Altmarkkreis Salzwedel;66203;4614;-;4457;50923;30669;18650;196;5546;2433;4210;-;156;4054;714;628;17750;10984;292
01.01.2022;15082;Anhalt-Bitterfeld, Landkreis;114005;7660;-;7382;92920;65714;24125;343;8910;4094;3259;-;697;2562;913;662;21414;11682;923
01.01.2022;15083;Börde, Landkreis;134298;9688;-;9304;106934;69636;33880;136;10702;4646;5749;-;1452;4297;1089;1072;27721;15455;1603
01.01.2022;15084;Burgenlandkreis;128694;9663;-;9301;102463;71234;27430;178;10223;4707;5183;-;737;4446;984;771;21660;12135;1162
01.01.2022;15085;Harz, Landkreis;152008;10329;-;9893;124090;81512;37591;239;11782;5180;4686;-;825;3861;882;1347;26067;14101;1295
01.01.2022;15086;Jerichower Land, Landkreis;69124;5032;-;4858;54513;35708;16878;112;5909;2806;2837;-;593;2244;721;537;16320;9141;994
01.01.2022;15087;Mansfeld-Südharz, Landkreis;100031;7657;-;7203;79822;54385;22752;172;7326;3155;4320;-;343;3977;734;589;16694;9550;490
01.01.2022;15088;Saalekreis;144083;10985;-;10582;115431;79328;31368;141;12116;5005;4161;-;1043;3118;1249;875;24947;12990;1782
01.01.2022;15089;Salzlandkreis;128819;9208;-;8933;105452;73436;28433;141;9542;4124;3622;-;791;2831;854;797;21835;11535;1126
01.01.2022;15090;Stendal, Landkreis;81577;5334;-;5091;63895;39813;21953;225;7274;3280;4068;-;302;3766;781;624;19403;11460;517
01.01.2022;15091;Wittenberg, Landkreis;95207;7139;-;6871;75667;52736;20171;89;7811;3468;3805;-;617;3188;696;775;22737;13547;813
01.01.2022;15101;Dessau, kreisfreie Stadt (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;15151;Anhalt-Zerbst, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;15153;Bernburg, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;15154;Bitterfeld, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;15159;Köthen, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;15171;Wittenberg, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;15202;Halle (Saale), kreisfreie Stadt (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;15256;Burgenlandkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;15260;Mansfelder Land, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;15261;Merseburg-Querfurt, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;15265;Saalkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;15266;Sangerhausen, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;15268;Weißenfels, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;15303;Magdeburg, kreisfreie Stadt (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;15352;Aschersleben-Staßfurt, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;15355;Bördekreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;15357;Halberstadt, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;15358;Jerichower Land, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;15362;Ohrekreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;15363;Stendal, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;15364;Quedlinburg, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;15367;Schönebeck, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;15369;Wernigerode, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;15370;Altmarkkreis Salzwedel (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;16051;Erfurt, kreisfreie Stadt;118207;7598;-;7407;99026;65301;28470;77;9018;3020;1278;-;253;1025;1210;1126;11735;5807;474
01.01.2022;16052;Gera, kreisfreie Stadt;53526;2958;-;2880;46017;31797;11927;71;3472;1309;772;-;80;692;236;439;5693;2875;96
01.01.2022;16053;Jena, kreisfreie Stadt;52691;3296;-;3230;45365;29255;13530;66;3172;1129;519;-;42;477;273;585;4435;2173;82
01.01.2022;16054;Suhl, kreisfreie Stadt;24137;1736;-;1683;20111;13231;5849;42;1689;635;433;-;43;390;126;259;3031;1627;12
01.01.2022;16055;Weimar, kreisfreie Stadt;35573;2197;-;2155;30681;19864;8776;43;2155;782;325;-;18;307;172;379;3301;1613;43
01.01.2022;16056;Eisenach, kreisfreie Stadt (bis 30.06.2021);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;16061;Eichsfeld, Landkreis;79588;5672;-;5299;60926;37490;21066;100;7525;2844;4802;-;668;4134;563;599;14529;8235;892
01.01.2022;16062;Nordhausen, Landkreis;58611;4102;-;3909;47500;32038;13744;88;3929;1682;2504;-;206;2298;488;475;10838;5917;286
01.01.2022;16063;Wartburgkreis;119233;9027;-;8518;95383;62947;28699;183;7961;3386;5918;-;451;5467;761;1300;20572;11109;1287
01.01.2022;16064;Unstrut-Hainich-Kreis;73823;5274;-;4983;57158;37489;17549;120;7148;2921;3563;-;315;3248;560;624;14309;7962;416
01.01.2022;16065;Kyffhäuserkreis;56573;4451;-;4193;44323;29856;13121;82;3933;1857;3342;-;135;3207;442;364;10015;5739;205
01.01.2022;16066;Schmalkalden-Meiningen, Landkreis;97313;7259;-;6973;76359;48736;24850;156;7968;3500;4894;-;344;4550;677;937;17653;10424;552
01.01.2022;16067;Gotha, Landkreis;95300;6633;-;6335;76731;50988;22728;134;7668;3187;3386;-;315;3071;748;931;16285;9294;428
01.01.2022;16068;Sömmerda, Landkreis;52547;4113;-;3844;40659;26737;12712;64;4709;2070;2593;-;170;2423;409;387;10235;5869;249
01.01.2022;16069;Hildburghausen, Landkreis;51096;3948;-;3762;39236;24486;13456;85;3940;1809;3534;-;107;3427;353;414;10968;6708;161
01.01.2022;16070;Ilm-Kreis;73591;5579;-;5383;59092;38291;18221;99;5582;2269;2740;-;279;2461;499;694;11994;6385;290
01.01.2022;16071;Weimarer Land, Landkreis;63808;5153;-;4927;48804;31840;15037;120;6012;2543;3287;-;151;3136;432;564;11307;6280;202
01.01.2022;16072;Sonneberg, Landkreis;43312;3346;-;3241;34867;24384;9134;60;2884;1207;1912;-;136;1776;243;238;6845;3914;174
01.01.2022;16073;Saalfeld-Rudolstadt, Landkreis;78305;6375;-;6139;60360;40236;17822;219;6338;2673;4479;-;170;4309;534;613;14295;8064;245
01.01.2022;16074;Saale-Holzland-Kreis;64706;4896;-;4719;49777;32484;15114;110;5250;2320;4171;-;309;3862;502;583;12026;6933;427
01.01.2022;16075;Saale-Orla-Kreis;67304;5139;-;4934;50465;32606;16411;27;5791;2557;5390;-;300;5090;492;471;15772;9421;685
01.01.2022;16076;Greiz, Landkreis;78547;5996;-;5791;60165;39900;18081;95;7364;3403;4263;-;444;3819;664;623;14548;8405;397
01.01.2022;16077;Altenburger Land, Landkreis;63755;5055;-;4930;51456;36664;12926;88;4906;2294;1824;-;314;1510;426;424;10702;6386;385
__________
"Quelle: Kraftfahrt-Bundesamt, Flensburg

Ab 1.1.2008:
Ohne vorübergehend stillgelegte Fahrzeuge (etwa 12 %).
Die Werte vom 1.1.2008 sind daher mit den früheren Werten
nicht mehr vergleichbar."
© Statistisches Bundesamt (Destatis), 2023
Stand: 05.04.2023 / 12:12:50
